CHANNEL1,CHANNEL2,CHANNEL3,ENTRY AGE,SEX,POLICY TYPE 1,POLICY TYPE 2,POLICY TYPE 3,PAYMENT MODE,POLICY STATUS,BENEFIT,NON LAPSE GUARANTEED,SUBSTANDARD RISK,NUMBER OF ADVANCE PREMIUM,INITIAL BENEFIT,Full Benefit?,Policy Year (Decimal),Policy Year,Premium,Issue Date
1,1,6,29,M,2,3,A,Annually,Lapse,20000,NO NLG,0,0,0,N,7.916666667,8,163,11-Sep
1,1,15,26,M,1,4,A,Annually,Lapse,140000,NO NLG,0,0,0,N,7.916666667,8,280,11-Sep
1,1,1,32,M,2,3,A,Monthly,Lapse,80000,NO NLG,0,0,0,N,7.916666667,8,773,11-Sep
1,1,3,25,F,1,1,A,Annually,Lapse,200000,NO NLG,0,0,0,N,7.833333333,8,400,11-Oct
1,1,1,31,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.833333333,8,216,11-Oct
1,1,1,29,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.833333333,8,151,11-Oct
1,1,1,33,F,2,3,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.833333333,8,357,11-Oct
1,1,10,36,M,2,3,A,Annually,Lapse,80000,NO NLG,0,0,0,N,7.75,8,309,11-Nov
1,1,6,34,M,2,3,A,Annually,Lapse,80000,NO NLG,0,0,0,N,7.75,8,794,11-Nov
1,1,2,50,M,2,3,A,Annually,Expired,80000,NO NLG,0,0,0,N,7.75,8,,11-Nov
1,1,4,37,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.75,8,151,11-Nov
1,1,6,35,F,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.75,8,216,11-Nov
1,1,1,43,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.666666667,8,151,11-Dec
1,1,1,29,M,2,3,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.666666667,8,327,11-Dec
1,1,2,32,M,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.666666667,8,68,11-Dec
1,1,2,30,F,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.583333333,8,74,12-Jan
1,1,2,30,M,2,3,A,Quaterly,Lapse,20000,NO NLG,0,0,0,N,7.583333333,8,64,12-Jan
1,1,6,47,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.583333333,8,151,12-Jan
1,1,12,23,M,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.5,8,135,12-Feb
1,1,9,28,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.5,8,216,12-Feb
1,1,6,50,M,1,1,A,Monthly,Inforce,200000,NO NLG,0,0,0,N,7.5,8,432,12-Feb
1,1,1,43,F,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.5,8,151,12-Feb
1,1,1,30,F,2,3,A,Monthly,Lapse,80000,NO NLG,0,0,0,N,7.416666667,8,261,12-Mar
1,1,3,22,F,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.416666667,8,60,12-Mar
1,1,11,38,M,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.416666667,8,288,12-Mar
1,1,15,25,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.416666667,8,216,12-Mar
1,1,6,21,F,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.416666667,8,151,12-Mar
1,1,1,36,M,2,3,A,Monthly,Lapse,200000,NO NLG,0,0,0,N,7.25,8,1124,12-May
1,1,7,29,M,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,7.333333333,8,140,12-Apr
1,1,6,49,M,2,3,A,Monthly,Expired,20000,NO NLG,0,0,0,N,7.333333333,8,,12-Apr
1,1,4,28,M,2,3,A,Monthly,Lapse,22200,NO NLG,0,0,0,N,7.333333333,8,73,12-Apr
1,1,1,25,M,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.333333333,8,65,12-Apr
1,1,3,38,M,2,3,A,Annually,Lapse,20000,NO NLG,0,0,0,N,7.25,8,119,12-May
1,1,15,41,M,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,7.25,8,140,12-May
1,1,4,46,F,1,2,A,Quaterly,Lapse,100000,NO NLG,0,0,0,N,7.166666667,8,148,12-Jun
1,1,6,27,M,2,3,A,Monthly,Inforce,30000,NO NLG,0,0,0,N,7.166666667,8,241,12-Jun
1,1,15,20,F,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.166666667,8,65,12-Jun
1,1,12,24,F,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.083333333,8,151,12-Jul
1,1,1,47,M,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,7.083333333,8,200,12-Jul
1,1,2,47,M,2,3,A,Annually,Expired,80000,NO NLG,0,0,0,N,7.083333333,8,848,12-Jul
1,1,2,24,F,2,3,A,Quaterly,Lapse,20000,NO NLG,0,0,0,N,7.083333333,8,59,12-Jul
1,1,13,47,M,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,7,8,140,12-Aug
1,1,14,38,M,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7,8,95,12-Aug
1,1,1,25,F,1,4,A,Annually,Lapse,140000,NO NLG,0,0,0,N,7,8,364,12-Aug
1,1,10,6,M,1,1,A,Quaterly,Lapse,200000,NO NLG,0,0,0,N,7,8,454,12-Aug
1,1,6,2,F,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,6.916666667,7,231,12-Sep
1,1,6,34,M,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,6.916666667,7,214,12-Sep
1,1,2,23,M,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,6.833333333,7,65,12-Oct
1,1,10,44,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,6.75,7,281,12-Nov
